,session_id,mall_id,lat,lng,activity,uniqueCount,totActiveDays,home_lat,home_long,mallidNearHome,work_lat,work_long,mallidNearWork,home_office_dist,one_home_dist,one_work_dist
390,148211896973452,1055,41.049744,28.990915,Residence,1,9,41.05027584,28.98874933,1055,41.05027584,28.98874933,1055,0,0.19,0.19
427,148215037508215,1078,41.110367,29.131603,Residence,4,9,41.11352901,29.13316545,1078,40.98296985,29.02731794,0,17.04,0.38,16.67
440,148217063883658,1082,41.058075,28.980726,Residence,3,9,41.05596017,28.98155867,1082,41.05596017,28.98155867,1082,0,0.25,0.25
441,148217063883658,1082,41.058075,28.980726,Work,1,9,41.05596017,28.98155867,1082,41.05596017,28.98155867,1082,0,0.25,0.25
534,148240623922351,1080,41.024788,28.978239,Residence,3,9,41.02618737,28.97640902,1080,41.10787725,29.00762844,116,9.46,0.22,9.57
535,148240623922351,1110,41.030804,28.983236,Residence,1,9,41.02618737,28.97640902,1080,41.10787725,29.00762844,116,9.46,0.77,8.82
598,148311836881324,1071,41.047516,28.994026,Residence,2,9,40.97965223,37.89675786,0,40.97965223,37.89675786,0,0,747.51,747.51
6,148189409525012,84,40.96933,29.091743,Work,1,8,40.96748595,29.09523704,84,40.96748595,29.09523704,84,0,0.36,0.36
67,148192518390500,1025,41.034428,28.983999,Residence,1,8,41.04543432,28.93496399,0,41.04543432,28.93496399,0,0,4.3,4.3
112,148195869547715,25,41.07671,29.027039,Work,14,8,41.08047074,29.0351956,1045,41.08047074,29.0351956,1045,0,0.8,0.8
113,148195869547715,1045,41.080986,29.035622,Residence,3,8,41.08047074,29.0351956,1045,41.08047074,29.0351956,1045,0,0.07,0.07
135,148196636812959,24,41.076225,29.011829,Work,1,8,41.01512598,29.05036078,0,41.04360199,29.01495631,0,4.35,7.53,3.64
284,148204360922266,1064,41.01038,28.96965,Work,1,8,41.10971917,28.85017501,0,41.10971917,28.85017501,0,0,14.93,14.93
314,148205165497606,1059,41.006886,29.033216,Residence,3,8,41.00527711,29.03895571,1059,41.10797252,29.00796554,116,11.72,0.51,11.45
355,148207232068820,1043,41.041405,28.997549,Residence,2,8,38.43718484,27.17513114,0,38.43718484,27.17513114,0,0,329.19,329.19
367,148208289339944,93,40.937439,29.326969,Work,1,8,40.92500566,29.30531586,0,40.92500566,29.30531586,0,0,2.29,2.29
368,148208355809735,94,41.04657,28.897532,Work,1,8,41.01909866,28.60460904,0,41.02253596,28.6072127,0,0.44,24.79,24.52
393,148212181775257,82,41.05365,28.993231,Work,3,8,41.05148309,28.92237619,0,41.05450692,28.99048058,82,5.73,5.95,0.25
543,148248188774019,1102,38.283974,26.37542,Work,2,8,38.29992982,26.37454224,0,38.28429912,26.37667255,1102_1103,1.75,1.78,0.12
555,148266535719814,35,41.062988,28.807287,Residence,2,8,41.05965025,28.80474911,35,41.0568508,28.80594944,0,0.33,0.43,0.69
560,148269613881207,1067,40.971657,29.060005,Work,3,8,40.97205132,29.05459323,1067,40.97205132,29.05459323,1067,0,0.46,0.46
570,148277760933139,1059,41.006886,29.033216,Work,2,8,41.01312141,29.12008918,0,40.95345775,29.11774211,0,6.64,7.33,9.26
599,148312873118008,76,41.068562,29.005823,Residence,2,8,41.06445122,29.00856998,76,41.08989114,29.01498065,0,2.88,0.51,2.5
30,148191114007835,1022,40.97739,29.041759,Work,1,7,40.9574069,29.09015078,0,40.9574069,29.09015078,0,0,4.64,4.64
62,148192230864794,1095,41.040092,28.987194,Work,1,7,41.04118493,28.99684199,1043,41.03983871,28.98469353,1095,1.03,0.82,0.21
