"","session_id","mall_id","activity"
"402",148212613806737,1048,"Work"
"403",148212712596256,1006,"Work"
"404",148212712596256,1049,"Work"
"405",148212712596256,1108,"Work"
"406",148212781798528,1123,"Work"
"407",148212799027344,66,"Work"
"408",148212892997670,76,"Residence"
"409",148212892997670,76,"Work"
"410",148213008037383,55,"Residence"
"411",148213008037383,55,"Work"
"412",148213190957413,1024,"Residence"
"413",148213319423654,80,"Residence"
"414",148213402707068,82,"Residence"
"415",148213402707068,82,"Work"
"416",148213434703398,29,"Residence"
"417",148213751175894,90,"Work"
"418",148213756668912,60,"Residence"
"419",148214139081615,39,"Residence"
"420",148214139081615,39,"Work"
"421",148214342717728,1001,"Residence"
"422",148214342717728,1001,"Work"
"423",148214746578556,36,"Residence"
"424",148214842468162,26,"Residence"
"425",148214842468162,26,"Work"
"426",148214899281542,1082,"Work"
"427",148215037508215,1078,"Residence"
"428",148215339988502,24,"Work"
"429",148215372473831,77,"Residence"
"430",148215557481676,86,"Residence"
"431",148215560890172,84,"Residence"
"432",148215823238190,1021,"Work"
"433",148215837612975,76,"Work"
"434",148215837612975,1090,"Work"
"435",148216273261513,27,"Work"
"436",148216717652741,72,"Residence"
"437",148216717652741,72,"Work"
"438",148216915421835,27,"Residence"
"439",148216915421835,27,"Work"
"440",148217063883658,1082,"Residence"
"441",148217063883658,1082,"Work"
"442",148217637720837,1048,"Residence"
"443",148217637720837,1048,"Work"
"444",148217678302018,1063,"Residence"
"445",148217678302018,1063,"Work"
"446",148217678302018,1108,"Work"
"447",148218016280957,72,"Residence"
"448",148218016280957,1022,"Residence"
"449",148218016280957,1022,"Work"
"450",148218189543490,1090,"Work"
"451",148218287161783,1110,"Residence"
"452",148218618181816,26,"Residence"
"453",148218618181816,26,"Work"
"454",148218649557163,88,"Work"
"455",148218649557163,1096,"Work"
"456",148218654324022,31,"Residence"
"457",148218654324022,31,"Work"
"458",148219834468479,1052,"Residence"
"459",148219873051374,63,"Residence"
"460",148220687733308,1032,"Work"
"461",148220736954889,89,"Work"
"462",148221013752168,32,"Residence"
"463",148221013752168,32,"Work"
"464",148221436949581,86,"Residence"
"465",148221879985934,34,"Work"
"466",148221879985934,80,"Residence"
"467",148221879985934,80,"Work"
"468",148223110081771,1074,"Residence"
"469",148223110081771,1074,"Work"
"470",148223306959619,1046,"Work"
"471",148223459269595,89,"Residence"
"472",148223459269595,89,"Work"
"473",148223938135323,26,"Work"
"474",148223938135323,27,"Work"
"475",148223938135323,66,"Work"
"476",148223938135323,72,"Work"
"477",148224158907447,91,"Residence"
"478",148224158907447,91,"Work"
"479",148224158907447,1096,"Work"
"480",148224158907447,1118,"Work"
"481",148224186647220,27,"Work"
"482",148224232097940,77,"Work"
"483",148224357788374,1002,"Work"
"484",148224391940179,1096,"Work"
"485",148224436838836,1067,"Residence"
"486",148224436838836,1067,"Work"
"487",148225095454731,89,"Residence"
"488",148225165239636,1045,"Residence"
"489",148225217692234,1064,"Work"
"490",148225638582059,1059,"Work"
"491",148225820372347,91,"Residence"
"492",148225820372347,91,"Work"
"493",148226057482132,1049,"Residence"
"494",148226243401061,30,"Residence"
"495",148226243401061,30,"Work"
"496",148226394291147,92,"Residence"
"497",148226394291147,92,"Work"
"498",148229692743331,38,"Work"
"499",148230017062512,76,"Work"
"500",148230779021932,1033,"Work"
"501",148231328370165,1010,"Residence"
"502",148231628731195,1043,"Work"
"503",148231782539511,1111,"Residence"
"504",148232831880018,74,"Residence"
"505",148232831880018,74,"Work"
"506",148232878775582,1063,"Residence"
"507",148232885318173,87,"Work"
"508",148233865303412,1064,"Residence"
"509",148233865303412,1064,"Work"
"510",148234557591709,71,"Work"
"511",148234792753171,79,"Work"
"512",148234792753171,89,"Work"
"513",148234926595099,93,"Residence"
"514",148234926595099,93,"Work"
"515",148235085438623,1059,"Residence"
"516",148237960593540,25,"Residence"
"517",148237960593540,27,"Work"
"518",148237960593540,1021,"Residence"
"519",148238184393553,85,"Residence"
"520",148238184393553,85,"Work"
"521",148238184393553,1101,"Work"
"522",148238448311720,1018,"Residence"
"523",148238609430977,61,"Work"
"524",148238609430977,62,"Work"
"525",148238609430977,1094,"Work"
"526",148238609430977,1109,"Residence"
"527",148238609430977,1109,"Work"
"528",148238744391386,93,"Work"
"529",148239299605891,26,"Work"
"530",148239689382166,84,"Work"
"531",148240059454660,1071,"Work"
"532",148240483824303,61,"Residence"
"533",148240483824303,61,"Work"
"534",148240623922351,1080,"Residence"
"535",148240623922351,1110,"Residence"
"536",148240901626773,71,"Work"
"537",148241717948617,1064,"Work"
"538",148242640205828,21,"Work"
"539",148244436591305,29,"Residence"
"540",148247612951338,1055,"Work"
"541",148247838124920,1047,"Work"
"542",148247997924858,93,"Work"
